int	int	string	int	string	string	string	string	int	int[]	int[]	int[]	int	int[]	float[]	int[]
100410	10004	朴素门饰	10	Furniture_Lounge_initial_dooradorn_name	Furniture_Lounge_initial_dooradorn_desc	xxs_initial_dooradorn_icon	xxs_initial_dooradorn		8	726	1#120000	1250	1#5	10#10	
100501	10005	自助占卜	1	Furniture_Lounge_initial_paying02_name	Furniture_Lounge_initial_paying02_desc	xxs_initial_paying02_icon	xxs_initial_paying02	1	8	0	1#1800	160	3#5#4	2#2#3	112
100502	10005	自助占卜	2	Furniture_Lounge_pinks_paying02_name	Furniture_Lounge_pinks_paying02_desc	xxs_pinks_paying02_icon	xxs_pinks_paying02		8	18	1#3300	300	3#5#4	3#3#3	113
100503	10005	自助占卜	3	Furniture_Lounge_shining_paying02_name	Furniture_Lounge_shining_paying02_desc	xxs_shining_paying02_icon	xxs_shining_paying02		8	54	1#36475	520	3#5#4	4#4#3	114
100504	10005	自助占卜	4	Furniture_Lounge_Egypt_paying02_name	Furniture_Lounge_Egypt_paying02_desc	xxs_Egypt_paying02_icon	xxs_Egypt_paying02		8	105	1#45800	805	3#5#4	5#5#5	115
100505	10005	自助占卜	5	Furniture_Lounge_vampire_paying02_name	Furniture_Lounge_vampire_paying02_desc	xxs_vampire_paying02_icon	xxs_vampire_paying02		8	171	1#58530	975	3#5#4	6#6#5	112
100506	10005	自助占卜	6	Furniture_Lounge_initial_paying02_name	Furniture_Lounge_initial_paying02_desc	xxs_initial_paying02_icon	xxs_initial_paying02		8	252	1#66450	1045	3#5#4	7#7#5	112
100507	10005	自助占卜	7	Furniture_Lounge_initial_paying02_name	Furniture_Lounge_initial_paying02_desc	xxs_initial_paying02_icon	xxs_initial_paying02		8	348	1#78250	1115	3#5#4	8#8#6	112
100508	10005	自助占卜	8	Furniture_Lounge_initial_paying02_name	Furniture_Lounge_initial_paying02_desc	xxs_initial_paying02_icon	xxs_initial_paying02		8	459	1#98850	1200	3#5#4	9#9#6	112
100509	10005	自助占卜	9	Furniture_Lounge_initial_paying02_name	Furniture_Lounge_initial_paying02_desc	xxs_initial_paying02_icon	xxs_initial_paying02		8	585	1#119500	1225	3#5#4	10#10#9	112
100510	10005	自助占卜	10	Furniture_Lounge_initial_paying02_name	Furniture_Lounge_initial_paying02_desc	xxs_initial_paying02_icon	xxs_initial_paying02		8	726	1#127850	1340	3#5#4	11#11#9	112
100601	10006	魔能饮料	1	Furniture_Lounge_initial_paying01_name	Furniture_Lounge_initial_paying01_desc	xxs_initial_paying01_icon	xxs_initial_paying01	1	8	0	1#2000	160	3#5#4	2#2#3	116#117
100602	10006	魔能饮料	2	Furniture_Lounge_pinks_paying01_name	Furniture_Lounge_pinks_paying01_desc	xxs_pinks_paying01_icon	xxs_pinks_paying01		8	18	1#3800	300	3#5#4	3#3#3	118
100603	10006	魔能饮料	3	Furniture_Lounge_shining_paying01_name	Furniture_Lounge_shining_paying01_desc	xxs_shining_paying01_icon	xxs_shining_paying01		8	54	1#38500	520	3#5#4	4#4#3	119
100604	10006	魔能饮料	4	Furniture_Lounge_Egypt_paying01_name	Furniture_Lounge_Egypt_paying01_desc	xxs_Egypt_paying01_icon	xxs_Egypt_paying01		8	105	1#48500	805	3#5#4	5#5#5	120
100605	10006	魔能饮料	5	Furniture_Lounge_vampire_paying01_name	Furniture_Lounge_vampire_paying01_desc	xxs_vampire_paying01_icon	xxs_vampire_paying01		8	171	1#59500	975	3#5#4	6#6#5	116#117
100606	10006	魔能饮料	6	Furniture_Lounge_initial_paying01_name	Furniture_Lounge_initial_paying01_desc	xxs_initial_paying01_icon	xxs_initial_paying01		8	252	1#68450	1045	3#5#4	7#7#5	116#117
100607	10006	魔能饮料	7	Furniture_Lounge_initial_paying01_name	Furniture_Lounge_initial_paying01_desc	xxs_initial_paying01_icon	xxs_initial_paying01		8	348	1#80250	1115	3#5#4	8#8#6	116#117
100608	10006	魔能饮料	8	Furniture_Lounge_initial_paying01_name	Furniture_Lounge_initial_paying01_desc	xxs_initial_paying01_icon	xxs_initial_paying01		8	459	1#99850	1200	3#5#4	9#9#6	116#117
100609	10006	魔能饮料	9	Furniture_Lounge_initial_paying01_name	Furniture_Lounge_initial_paying01_desc	xxs_initial_paying01_icon	xxs_initial_paying01		8	585	1#125500	1225	3#5#4	10#10#9	116#117
100610	10006	魔能饮料	10	Furniture_Lounge_initial_paying01_name	Furniture_Lounge_initial_paying01_desc	xxs_initial_paying01_icon	xxs_initial_paying01		8	726	1#135500	1340	3#5#4	11#11#9	116#117
100701	10007	廉价小床	1	Furniture_Lounge_initial_bed_name	Furniture_Lounge_initial_bed_desc	xxs_initial_bed_icon	xxs_initial_bed	1	8	0	1#1800	90	1#5	2#1	
100702	10007	廉价小床	2	Furniture_Lounge_pinks_bed_name	Furniture_Lounge_pinks_bed_desc	xxs_pinks_bed_icon	xxs_pinks_bed		8	18	1#3000	210	1#5#7	3#2#5	
100703	10007	廉价小床	3	Furniture_Lounge_shining_bed_name	Furniture_Lounge_shining_bed_desc	xxs_shining_bed_icon	xxs_shining_bed		8	54	1#35850	360	1#5#7	5#3#5	
100704	10007	廉价小床	4	Furniture_Lounge_Egypt_bed_name	Furniture_Lounge_Egypt_bed_desc	xxs_Egypt_bed_icon	xxs_Egypt_bed		8	105	1#45860	680	1#5#7	7#4#10	
100705	10007	廉价小床	5	Furniture_Lounge_vampire_bed_name	Furniture_Lounge_vampire_bed_desc	xxs_vampire_bed_icon	xxs_vampire_bed		8	171	1#58430	780	1#5#7	9#5#10	
100706	10007	廉价小床	6	Furniture_Lounge_initial_bed_name	Furniture_Lounge_initial_bed_desc	xxs_initial_bed_icon	xxs_initial_bed		8	252	1#65325	870	1#5#7	12#6#10	
100707	10007	廉价小床	7	Furniture_Lounge_initial_bed_name	Furniture_Lounge_initial_bed_desc	xxs_initial_bed_icon	xxs_initial_bed		8	348	1#78250	960	1#5#7	14#7#10	
100708	10007	廉价小床	8	Furniture_Lounge_initial_bed_name	Furniture_Lounge_initial_bed_desc	xxs_initial_bed_icon	xxs_initial_bed		8	459	1#98850	1020	1#5#7	16#8#25	
100709	10007	廉价小床	9	Furniture_Lounge_initial_bed_name	Furniture_Lounge_initial_bed_desc	xxs_initial_bed_icon	xxs_initial_bed		8	585	1#119450	1350	1#5#7	18#9#25	
100710	10007	廉价小床	10	Furniture_Lounge_initial_bed_name	Furniture_Lounge_initial_bed_desc	xxs_initial_bed_icon	xxs_initial_bed		8	726	1#140050	1500	1#5#7	20#10#25	
100801	10008	古董沙发	1	Furniture_Lounge_initial_sofa_name	Furniture_Lounge_initial_sofa_desc	xxs_initial_sofa_icon	xxs_initial_sofa	1	8	0	1#3200	180	1#5#2	1#1#3	121
100802	10008	古董沙发	2	Furniture_Lounge_pinks_sofa_name	Furniture_Lounge_pinks_sofa_desc	xxs_pinks_sofa_icon	xxs_pinks_sofa		8	18	1#38850	330	1#5#2	2#2#4	121
100803	10008	古董沙发	3	Furniture_Lounge_shining_sofa_name	Furniture_Lounge_shining_sofa_desc	xxs_shining_sofa_icon	xxs_shining_sofa		8	54	1#48460	420	1#5#2	3#3#5	121
100804	10008	古董沙发	4	Furniture_Lounge_Egypt_sofa_name	Furniture_Lounge_Egypt_sofa_desc	xxs_Egypt_sofa_icon	xxs_Egypt_sofa		8	105	1#59550	580	1#5#2	4#4#6	121
100805	10008	古董沙发	5	Furniture_Lounge_vampire_sofa_name	Furniture_Lounge_vampire_sofa_desc	xxs_vampire_sofa_icon	xxs_vampire_sofa		8	171	1#67455	780	1#5#2	5#5#7	121
100806	10008	古董沙发	6	Furniture_Lounge_initial_sofa_name	Furniture_Lounge_initial_sofa_desc	xxs_initial_sofa_icon	xxs_initial_sofa		8	252	1#79250	880	1#5#2	6#6#8	121
100807	10008	古董沙发	7	Furniture_Lounge_initial_sofa_name	Furniture_Lounge_initial_sofa_desc	xxs_initial_sofa_icon	xxs_initial_sofa		8	348	1#85450	960	1#5#2	7#7#9	121
100808	10008	古董沙发	8	Furniture_Lounge_initial_sofa_name	Furniture_Lounge_initial_sofa_desc	xxs_initial_sofa_icon	xxs_initial_sofa		8	459	1#99850	1025	1#5#2	8#8#10	121
100809	10008	古董沙发	9	Furniture_Lounge_initial_sofa_name	Furniture_Lounge_initial_sofa_desc	xxs_initial_sofa_icon	xxs_initial_sofa		8	585	1#112560	1450	1#5#2	9#9#11	121
100810	10008	古董沙发	10	Furniture_Lounge_initial_sofa_name	Furniture_Lounge_initial_sofa_desc	xxs_initial_sofa_icon	xxs_initial_sofa		8	726	1#125500	1650	1#5#2	10#10#12	121
100901	10009	传统坩埚	1	Furniture_Lounge_initial_selling_name	Furniture_Lounge_initial_selling_desc	xxs_initial_selling_icon	xxs_initial_selling	1	8	0	1#1600	230	4#5	1#2	122
100902	10009	传统坩埚	2	Furniture_Lounge_pinks_selling_name	Furniture_Lounge_pinks_selling_desc	xxs_pinks_selling_icon	xxs_pinks_selling		8	18	1#39250	350	4#5	1#3	122
100903	10009	传统坩埚	3	Furniture_Lounge_shining_selling_name	Furniture_Lounge_shining_selling_desc	xxs_shining_selling_icon	xxs_shining_selling		8	54	1#49230	470	4#5	2#4	122
100904	10009	传统坩埚	4	Furniture_Lounge_Egypt_selling_name	Furniture_Lounge_Egypt_selling_desc	xxs_Egypt_selling_icon	xxs_Egypt_selling		8	105	1#60000	630	4#5	2#5	122
100905	10009	传统坩埚	5	Furniture_Lounge_vampire_selling_name	Furniture_Lounge_vampire_selling_desc	xxs_vampire_selling_icon	xxs_vampire_selling		8	171	1#65235	810	4#5	3#6	122
100906	10009	传统坩埚	6	Furniture_Lounge_initial_selling_name	Furniture_Lounge_initial_selling_desc	xxs_initial_selling_icon	xxs_initial_selling		8	252	1#75610	930	4#5	3#7	122
100907	10009	传统坩埚	7	Furniture_Lounge_initial_selling_name	Furniture_Lounge_initial_selling_desc	xxs_initial_selling_icon	xxs_initial_selling		8	348	1#84482	1010	4#5	4#8	122
100908	10009	传统坩埚	8	Furniture_Lounge_initial_selling_name	Furniture_Lounge_initial_selling_desc	xxs_initial_selling_icon	xxs_initial_selling		8	459	1#93355	1105	4#5	4#9	122
100909	10009	传统坩埚	9	Furniture_Lounge_initial_selling_name	Furniture_Lounge_initial_selling_desc	xxs_initial_selling_icon	xxs_initial_selling		8	585	1#10297	1500	4#5	5#10	122
100910	10009	传统坩埚	10	Furniture_Lounge_initial_selling_name	Furniture_Lounge_initial_selling_desc	xxs_initial_selling_icon	xxs_initial_selling		8	726	1#11230	1700	4#5	5#11	122
101001	10010	廉价小床	1	Furniture_Lounge_initial_bed_name	Furniture_Lounge_initial_bed_desc	xxs_initial_bed_icon	xxs_initial_bed	1	8	0	1#2000	160	1#5	2#1	
101002	10010	廉价小床	2	Furniture_Lounge_pinks_bed_name	Furniture_Lounge_pinks_bed_desc	xxs_pinks_bed_icon	xxs_pinks_bed		8	18	1#3800	300	1#5#7	3#2#5	
101003	10010	廉价小床	3	Furniture_Lounge_shining_bed_name	Furniture_Lounge_shining_bed_desc	xxs_shining_bed_icon	xxs_shining_bed		8	54	1#38500	520	1#5#7	5#3#5	
101004	10010	廉价小床	4	Furniture_Lounge_Egypt_bed_name	Furniture_Lounge_Egypt_bed_desc	xxs_Egypt_bed_icon	xxs_Egypt_bed		8	105	1#48500	805	1#5#7	7#4#10	
101005	10010	廉价小床	5	Furniture_Lounge_vampire_bed_name	Furniture_Lounge_vampire_bed_desc	xxs_vampire_bed_icon	xxs_vampire_bed		8	171	1#59500	975	1#5#7	9#5#10	
101006	10010	廉价小床	6	Furniture_Lounge_initial_bed_name	Furniture_Lounge_initial_bed_desc	xxs_initial_bed_icon	xxs_initial_bed		8	252	1#68450	1045	1#5#7	12#6#10	
101007	10010	廉价小床	7	Furniture_Lounge_initial_bed_name	Furniture_Lounge_initial_bed_desc	xxs_initial_bed_icon	xxs_initial_bed		8	348	1#80250	1115	1#5#7	14#7#10	
101008	10010	廉价小床	8	Furniture_Lounge_initial_bed_name	Furniture_Lounge_initial_bed_desc	xxs_initial_bed_icon	xxs_initial_bed		8	459	1#99850	1200	1#5#7	16#8#25	
101009	10010	廉价小床	9	Furniture_Lounge_initial_bed_name	Furniture_Lounge_initial_bed_desc	xxs_initial_bed_icon	xxs_initial_bed		8	585	1#108500	1225	1#5#7	18#9#25	
101010	10010	廉价小床	10	Furniture_Lounge_initial_bed_name	Furniture_Lounge_initial_bed_desc	xxs_initial_bed_icon	xxs_initial_bed		8	726	1#125500	1340	1#5#7	20#10#25	
101101	10011	儿童玩具	1	Furniture_Lounge_initial_gamearea_name	Furniture_Lounge_initial_gamearea_desc	xxs_initial_gamearea_icon	xxs_initial_gamearea	1	8	0	1#2000	420	1#5#2	1#1#1	123
101102	10011	儿童玩具	2	Furniture_Lounge_pinks_gamearea_name	Furniture_Lounge_pinks_gamearea_desc	xxs_pinks_gamearea_icon	xxs_pinks_gamearea		8	18	1#7000	630	1#5#2	2#2#2	123
101103	10011	儿童玩具	3	Furniture_Lounge_shining_gamearea_name	Furniture_Lounge_shining_gamearea_desc	xxs_shining_gamearea_icon	xxs_shining_gamearea		8	54	1#40500	765	1#5#2	3#3#3	123
101104	10011	儿童玩具	4	Furniture_Lounge_Egypt_gamearea_name	Furniture_Lounge_Egypt_gamearea_desc	xxs_Egypt_gamearea_icon	xxs_Egypt_gamearea		8	105	1#50250	875	1#5#2	4#4#4	123
101105	10011	儿童玩具	5	Furniture_Lounge_vampire_gamearea_name	Furniture_Lounge_vampire_gamearea_desc	xxs_vampire_gamearea_icon	xxs_vampire_gamearea		8	171	1#60000	990	1#5#2	5#5#5	123
101106	10011	儿童玩具	6	Furniture_Lounge_initial_gamearea_name	Furniture_Lounge_initial_gamearea_desc	xxs_initial_gamearea_icon	xxs_initial_gamearea		8	252	1#69750	1125	1#5#2	6#6#6	123
101107	10011	儿童玩具	7	Furniture_Lounge_initial_gamearea_name	Furniture_Lounge_initial_gamearea_desc	xxs_initial_gamearea_icon	xxs_initial_gamearea		8	348	1#79500	1225	1#5#2	7#7#7	123
101108	10011	儿童玩具	8	Furniture_Lounge_initial_gamearea_name	Furniture_Lounge_initial_gamearea_desc	xxs_initial_gamearea_icon	xxs_initial_gamearea		8	459	1#89250	1440	1#5#2	8#8#8	123
101109	10011	儿童玩具	9	Furniture_Lounge_initial_gamearea_name	Furniture_Lounge_initial_gamearea_desc	xxs_initial_gamearea_icon	xxs_initial_gamearea		8	585	1#99000	1650	1#5#2	9#9#9	123
101110	10011	儿童玩具	10	Furniture_Lounge_initial_gamearea_name	Furniture_Lounge_initial_gamearea_desc	xxs_initial_gamearea_icon	xxs_initial_gamearea		8	726	1#108750	1800	1#5#2	10#10#10	123
101201	10012	和睦座椅	1	Furniture_Lounge_initial_restarea_name	Furniture_Lounge_initial_restarea_desc	xxs_initial_restarea_icon	xxs_initial_restarea	1	8	0	1#3000	420	1#5	2#2	124
101202	10012	和睦座椅	2	Furniture_Lounge_pinks_restarea_name	Furniture_Lounge_pinks_restarea_desc	xxs_pinks_restarea_icon	xxs_pinks_restarea		8	18	1#8500	630	1#5	3#3	124
101203	10012	和睦座椅	3	Furniture_Lounge_shining_restarea_name	Furniture_Lounge_shining_restarea_desc	xxs_shining_restarea_icon	xxs_shining_restarea		8	54	1#41500	765	1#5	4#4	124
101204	10012	和睦座椅	4	Furniture_Lounge_Egypt_restarea_name	Furniture_Lounge_Egypt_restarea_desc	xxs_Egypt_restarea_icon	xxs_Egypt_restarea		8	105	1#52250	875	1#5	5#5	124
101205	10012	和睦座椅	5	Furniture_Lounge_vampire_restarea_name	Furniture_Lounge_vampire_restarea_desc	xxs_vampire_restarea_icon	xxs_vampire_restarea		8	171	1#63250	990	1#5	6#6	124
101206	10012	和睦座椅	6	Furniture_Lounge_initial_restarea_name	Furniture_Lounge_initial_restarea_desc	xxs_initial_restarea_icon	xxs_initial_restarea		8	252	1#74083	1125	1#5	7#7	124
101207	10012	和睦座椅	7	Furniture_Lounge_initial_restarea_name	Furniture_Lounge_initial_restarea_desc	xxs_initial_restarea_icon	xxs_initial_restarea		8	348	1#94958	1225	1#5	8#8	124
101208	10012	和睦座椅	8	Furniture_Lounge_initial_restarea_name	Furniture_Lounge_initial_restarea_desc	xxs_initial_restarea_icon	xxs_initial_restarea		8	459	1#95833	1440	1#5	9#9	124
101209	10012	和睦座椅	9	Furniture_Lounge_initial_restarea_name	Furniture_Lounge_initial_restarea_desc	xxs_initial_restarea_icon	xxs_initial_restarea		8	585	1#106708	1650	1#5	12#10	124
101210	10012	和睦座椅	10	Furniture_Lounge_initial_restarea_name	Furniture_Lounge_initial_restarea_desc	xxs_initial_restarea_icon	xxs_initial_restarea		8	726	1#117583	1800	1#5	14#11	124
101301	10013	战损墙面	1	Furniture_Lounge_initial_wall_name	Furniture_Lounge_initial_wall_desc	xxs_initial_wall_icon	xxs_initial_wall		8	0	1#4500	90	1	1	
101302	10013	战损墙面	2	Furniture_Lounge_pinks_wall_name	Furniture_Lounge_pinks_wall_desc	xxs_pinks_wall_icon	xxs_pinks_wall		8	18	1#9525	600	1#5	1#2	
101303	10013	战损墙面	3	Furniture_Lounge_shining_wall_name	Furniture_Lounge_shining_wall_desc	xxs_shining_wall_icon	xxs_shining_wall		8	54	1#43250	780	1#5	2#3	
101304	10013	战损墙面	4	Furniture_Lounge_Egypt_wall_name	Furniture_Lounge_Egypt_wall_desc	xxs_Egypt_wall_icon	xxs_Egypt_wall		8	105	1#55250	920	1#5	3#4	
101305	10013	战损墙面	5	Furniture_Lounge_vampire_wall_name	Furniture_Lounge_vampire_wall_desc	xxs_vampire_wall_icon	xxs_vampire_wall		8	171	1#68545	1325	1#5	4#5	
101306	10013	战损墙面	6	Furniture_Lounge_initial_wall_name	Furniture_Lounge_initial_wall_desc	xxs_initial_wall_icon	xxs_initial_wall		8	252	1#77560	1455	1#5	5#6	
101307	10013	战损墙面	7	Furniture_Lounge_initial_wall_name	Furniture_Lounge_initial_wall_desc	xxs_initial_wall_icon	xxs_initial_wall		8	348	1#90207	1545	1#5	7#7	
101308	10013	战损墙面	8	Furniture_Lounge_initial_wall_name	Furniture_Lounge_initial_wall_desc	xxs_initial_wall_icon	xxs_initial_wall		8	459	1#101830	1750	1#5	9#8	
101309	10013	战损墙面	9	Furniture_Lounge_initial_wall_name	Furniture_Lounge_initial_wall_desc	xxs_initial_wall_icon	xxs_initial_wall		8	585	1#113452	1855	1#5	12#9	
101310	10013	战损墙面	10	Furniture_Lounge_initial_wall_name	Furniture_Lounge_initial_wall_desc	xxs_initial_wall_icon	xxs_initial_wall		8	726	1#127583	2000	1#5	16#10	
101401	10014	厚德地板	1	Furniture_Lounge_initial_groundroom1_name	Furniture_Lounge_initial_groundroom1_desc	xxs_initial_groundroom1_icon	xxs_initial_groundroom1		8	0	1#100	90	1	1	
101402	10014	厚德地板	2	Furniture_Lounge_pinks_groundroom1_name	Furniture_Lounge_pinks_groundroom1_desc	xxs_pinks_groundroom1_icon	xxs_pinks_groundroom1		8	18	1#9800	800	1#5	1#2	
